step,mae,rmse,smape,bias
1,4.779994049072265,4.779994049072265,15.007832011381108,4.779994049072265
2,6.893279266357421,6.893279266357421,21.713413910911033,6.893279266357421
3,5.029735565185547,5.029735565185547,15.23475907372101,5.029735565185547
4,10.362220916748047,10.362220916748047,33.67516076732317,10.362220916748047
5,5.573163299560548,5.573163299560548,16.509856825496502,5.573163299560548
6,13.12724151611328,13.12724151611328,37.59919833890058,13.12724151611328
7,3.0537850952148453,3.0537850952148453,9.766832730707435,3.0537850952148453
8,6.012056427001951,6.012056427001951,17.986152553337597,6.012056427001951
9,0.6996525573730494,0.6996525573730494,1.9725288527659461,0.6996525573730494
10,7.353522491455081,7.353522491455081,17.836769780738354,7.353522491455081
11,2.3150028991699187,2.3150028991699187,5.7619384372988005,2.3150028991699187
12,5.65624267578125,5.65624267578125,12.567160120543566,5.65624267578125
13,8.17994842529297,8.17994842529297,17.50096905932762,8.17994842529297
14,32.91715103149414,32.91715103149414,100.05646297888546,32.91715103149414
15,6.546802520751953,6.546802520751953,13.28668683973451,6.546802520751953
16,39.33186019897461,39.33186019897461,55.613117647644714,-39.33186019897461
17,2.609661102294922,2.609661102294922,5.3471368977708,2.609661102294922
18,5.039624023437497,5.039624023437497,10.239015179979988,5.039624023437497
19,3.4007710266113307,3.4007710266113307,7.263440890816419,3.4007710266113307
20,0.6689739990234358,0.6689739990234358,1.4308230973220222,0.6689739990234358
21,1.657296295166013,1.657296295166013,3.6391021077650687,-1.657296295166013
22,4.710334167480468,4.710334167480468,11.417654210457325,-4.710334167480468
23,3.1066596984863253,3.1066596984863253,8.510620021013608,3.1066596984863253
24,4.543812255859372,4.543812255859372,12.463109760492113,-4.543812255859372
