window,soh,window_efc,cumulative_efc,degradation_cost_usd,cumulative_wear_cost_usd
132,0.993201,0.543,71.68,725.02,95702.64
133,0.99315,0.543,72.22,725.02,96427.66
134,0.993098,0.543,72.76,725.02,97152.68
135,0.993047,0.543,73.31,725.02,97877.7
136,0.992995,0.543,73.85,725.02,98602.72
137,0.992944,0.543,74.39,725.02,99327.74
138,0.992892,0.543,74.93,725.02,100052.76
139,0.992841,0.543,75.48,725.02,100777.78
140,0.992789,0.543,76.02,725.02,101502.8
141,0.992738,0.543,76.56,725.02,102227.82
142,0.992686,0.543,77.11,725.02,102952.84
143,0.992635,0.543,77.65,725.02,103677.86
144,0.992583,0.543,78.19,725.02,104402.88
145,0.992532,0.543,78.74,725.02,105127.9
146,0.99248,0.543,79.28,725.02,105852.92
147,0.992428,0.543,79.82,725.02,106577.94
148,0.992377,0.543,80.36,725.02,107302.96
149,0.992325,0.543,80.91,725.02,108027.98
150,0.992274,0.543,81.45,725.02,108753.0
151,0.992222,0.543,81.99,725.02,109478.02
152,0.992171,0.543,82.54,725.02,110203.04
153,0.992119,0.543,83.08,725.02,110928.06
154,0.992068,0.543,83.62,725.02,111653.08
155,0.992016,0.543,84.17,725.02,112378.1
156,0.991965,0.543,84.71,725.02,113103.12
157,0.991913,0.543,85.25,725.02,113828.14
158,0.991862,0.543,85.79,725.02,114553.16
159,0.99181,0.543,86.34,725.02,115278.18
160,0.991759,0.543,86.88,725.02,116003.2
161,0.991707,0.543,87.42,725.02,116728.22
162,0.991656,0.543,87.97,725.02,117453.24
163,0.991604,0.543,88.51,725.02,118178.26
164,0.991553,0.543,89.05,725.02,118903.28
165,0.991501,0.543,89.6,725.02,119628.3
166,0.99145,0.543,90.14,725.02,120353.32
167,0.991398,0.543,90.68,725.02,121078.34
168,0.991347,0.543,91.22,725.02,121803.36
169,0.991295,0.543,91.77,725.02,122528.38
170,0.991244,0.543,92.31,725.02,123253.4
171,0.991192,0.543,92.85,725.02,123978.42
172,0.991141,0.543,93.4,725.02,124703.44
173,0.991089,0.543,93.94,725.02,125428.46
174,0.991038,0.543,94.48,725.02,126153.48
175,0.990986,0.543,95.03,725.02,126878.5
176,0.990935,0.543,95.57,725.02,127603.52
177,0.990883,0.543,96.11,725.02,128328.54
178,0.990832,0.543,96.65,725.02,129053.56
179,0.99078,0.543,97.2,725.02,129778.58
180,0.990729,0.543,97.74,725.02,130503.6
181,0.990677,0.543,98.28,725.02,131228.62
182,0.990626,0.543,98.83,725.02,131953.64
183,0.990574,0.543,99.37,725.02,132678.66
184,0.990523,0.543,99.91,725.02,133403.68
185,0.990471,0.543,100.46,725.02,134128.7
186,0.99042,0.543,101.0,725.02,134853.72
187,0.990368,0.543,101.54,725.02,135578.74
188,0.990317,0.543,102.08,725.02,136303.76
189,0.990265,0.543,102.63,725.02,137028.78
190,0.990214,0.543,103.17,725.02,137753.8
191,0.990162,0.543,103.71,725.02,138478.82
192,0.990111,0.543,104.26,725.02,139203.84
193,0.990059,0.543,104.8,725.02,139928.86
194,0.990008,0.543,105.34,725.02,140653.88
195,0.989956,0.543,105.89,725.02,141378.9
196,0.989905,0.543,106.43,725.02,142103.92
197,0.989853,0.543,106.97,725.02,142828.94
198,0.989802,0.543,107.51,725.02,143553.96
199,0.98975,0.543,108.06,725.02,144278.98
200,0.989699,0.543,108.6,725.02,145004.0
201,0.989647,0.543,109.14,725.02,145729.02
202,0.989596,0.543,109.69,725.02,146454.04
203,0.989544,0.543,110.23,725.02,147179.06
204,0.989493,0.543,110.77,725.02,147904.08
205,0.989441,0.543,111.32,725.02,148629.1
206,0.98939,0.543,111.86,725.02,149354.12
207,0.989338,0.543,112.4,725.02,150079.14
208,0.989287,0.543,112.94,725.02,150804.16
209,0.989235,0.543,113.49,725.02,151529.18
210,0.989184,0.543,114.03,725.02,152254.2
211,0.989132,0.543,114.57,725.02,152979.22
212,0.989081,0.543,115.12,725.02,153704.24
213,0.989029,0.543,115.66,725.02,154429.26
214,0.988978,0.543,116.2,725.02,155154.28
215,0.988926,0.543,116.75,725.02,155879.3
216,0.988875,0.543,117.29,725.02,156604.32
217,0.988823,0.543,117.83,725.02,157329.34
218,0.988772,0.543,118.37,725.02,158054.36
219,0.98872,0.543,118.92,725.02,158779.38
220,0.988668,0.543,119.46,725.02,159504.4
221,0.988617,0.543,120.0,725.02,160229.42
222,0.988565,0.543,120.55,725.02,160954.44
223,0.988514,0.543,121.09,725.02,161679.46
224,0.988462,0.543,121.63,725.02,162404.48
225,0.988411,0.543,122.18,725.02,163129.5
226,0.988359,0.543,122.72,725.02,163854.52
227,0.988308,0.543,123.26,725.02,164579.54
228,0.988256,0.543,123.8,725.02,165304.56
229,0.988205,0.543,124.35,725.02,166029.58
