year,calendar_days,annual_efc,soh_start,soh_end,capacity_start_mwh,capacity_end_mwh,degradation_loss,replacement_required,degradation_cost_usd
1,365,300,1.0,0.845,100.0,84.5,0.155,False,2325000.0
2,365,300,0.845,0.7,84.5,70.0,0.155,True,2325000.0
