metric,value
gross_revenue_usd,1102091.72
degradation_cost_usd,253758.72
net_revenue_usd,848333.0
fixed_om_cost_usd,359589.04
variable_om_cost_usd,19017.97
total_operating_cost_usd,378607.01
net_operating_profit_usd,469725.99
profit_factor,5.103
sharpe_ratio,77.663
sortino_ratio,99.99
max_drawdown_usd,0.0
max_drawdown_pct,0.0
perfect_foresight_benchmark_usd,1993101.76
revenue_capture_ratio_pct,55.3
terminal_asset_value_usd,14746241.31
